date,total_amount,transaction_count,active_students,weekday,is_weekend,month,day
2023-12-01,10781.4,2664,426,4,0,12,1
2023-12-02,8467.4,2104,339,5,1,12,2
2023-12-03,8982.8,2274,359,6,1,12,3
2023-12-04,11639.8,2822,433,0,0,12,4
2023-12-05,13172.2,3158,478,1,0,12,5
2023-12-06,12372.64,2948,465,2,0,12,6
2023-12-07,12134.6,2966,435,3,0,12,7
2023-12-08,10692.98,2636,420,4,0,12,8
2023-12-09,8185.0,2014,310,5,1,12,9
2023-12-10,7451.6,1870,306,6,1,12,10
2023-12-11,10265.8,2508,385,0,0,12,11
2023-12-12,11724.4,2836,435,1,0,12,12
2023-12-13,11759.0,2896,433,2,0,12,13
2023-12-14,10763.4,2602,417,3,0,12,14
2023-12-15,9558.0,2218,369,4,0,12,15
2023-12-16,8497.36,2138,375,5,1,12,16
2023-12-17,9410.9,2290,381,6,1,12,17
2023-12-18,9815.2,2442,363,0,0,12,18
2023-12-19,10614.4,2566,394,1,0,12,19
2023-12-20,9095.0,2238,341,2,0,12,20
2023-12-21,9229.4,2276,354,3,0,12,21
2023-12-22,7992.0,1962,322,4,0,12,22
2023-12-23,7164.0,1844,287,5,1,12,23
2023-12-24,7531.0,1940,315,6,1,12,24
2023-12-25,8749.4,2186,325,0,0,12,25
2023-12-26,9008.8,2268,348,1,0,12,26
2023-12-27,8132.2,2004,323,2,0,12,27
2023-12-28,8056.8,1984,326,3,0,12,28
2023-12-29,6270.6,1590,266,4,0,12,29
2023-12-30,4424.0,1040,188,5,1,12,30
2023-12-31,3503.4,858,152,6,1,12,31
2024-01-01,1353.4,332,118,0,0,1,1
2024-01-02,3146.75,814,262,1,0,1,2
2024-01-03,3005.8,769,233,2,0,1,3
2024-01-04,2864.6,730,245,3,0,1,4
2024-01-05,2329.2,625,198,4,0,1,5
2024-01-06,1769.6,462,139,5,1,1,6
2024-01-07,1502.4,392,137,6,1,1,7
2024-01-08,1675.6,448,134,0,0,1,8
2024-01-09,1670.5,412,142,1,0,1,9
2024-01-10,1740.6,476,156,2,0,1,10
2024-01-11,1476.6,400,142,3,0,1,11
2024-01-12,1214.7,337,132,4,0,1,12
2024-01-13,468.9,131,53,5,1,1,13
2024-01-14,313.6,89,38,6,1,1,14
2024-01-15,299.0,74,30,0,0,1,15
2024-01-16,199.9,53,20,1,0,1,16
2024-01-17,192.03,49,20,2,0,1,17
2024-01-18,162.2,45,16,3,0,1,18
2024-01-19,217.7,57,20,4,0,1,19
2024-01-20,173.1,45,16,5,1,1,20
2024-01-21,154.4,40,15,6,1,1,21
2024-01-22,161.4,39,13,0,0,1,22
2024-01-23,126.8,29,11,1,0,1,23
2024-01-24,36.1,11,7,2,0,1,24
2024-01-25,24.4,8,3,3,0,1,25
2024-01-26,0.0,0,0,4,0,1,26
2024-01-27,106.4,23,9,5,1,1,27
2024-01-28,42.9,13,4,6,1,1,28
2024-01-29,15.1,5,3,0,0,1,29
2024-01-30,6.9,4,3,1,0,1,30
2024-01-31,30.4,7,4,2,0,1,31
2024-02-01,0.0,0,0,3,0,2,1
2024-02-02,7.5,1,1,4,0,2,2
2024-02-03,0.0,0,0,5,1,2,3
2024-02-04,0.0,0,0,6,1,2,4
2024-02-05,0.0,0,0,0,0,2,5
2024-02-06,0.0,0,0,1,0,2,6
2024-02-07,0.0,0,0,2,0,2,7
2024-02-08,0.0,0,0,3,0,2,8
2024-02-09,0.0,0,0,4,0,2,9
2024-02-10,0.0,0,0,5,1,2,10
2024-02-11,0.0,0,0,6,1,2,11
2024-02-12,0.0,0,0,0,0,2,12
2024-02-13,0.0,0,0,1,0,2,13
2024-02-14,0.0,0,0,2,0,2,14
2024-02-15,0.0,0,0,3,0,2,15
2024-02-16,0.0,0,0,4,0,2,16
2024-02-17,0.0,0,0,5,1,2,17
2024-02-18,0.0,0,0,6,1,2,18
2024-02-19,0.0,0,0,0,0,2,19
2024-02-20,0.0,0,0,1,0,2,20
2024-02-21,74.6,15,5,2,0,2,21
2024-02-22,205.3,45,14,3,0,2,22
2024-02-23,652.5,163,58,4,0,2,23
2024-02-24,814.1,217,75,5,1,2,24
2024-02-25,1500.6,434,136,6,1,2,25
2024-02-26,6256.45,1595,454,0,0,2,26
2024-02-27,5664.9,1358,420,1,0,2,27
2024-02-28,6571.54,1618,487,2,0,2,28
2024-02-29,5632.8,1405,459,3,0,2,29
2024-03-01,5312.82,1262,425,4,0,3,1
2024-03-02,3487.8,876,267,5,1,3,2
2024-03-03,3570.2,895,280,6,1,3,3
2024-03-04,7190.94,1704,496,0,0,3,4
2024-03-05,6529.6,1559,476,1,0,3,5
2024-03-06,6437.6,1563,502,2,0,3,6
2024-03-07,5483.82,1370,435,3,0,3,7
2024-03-08,4855.08,1202,404,4,0,3,8
2024-03-09,3244.18,850,269,5,1,3,9
2024-03-10,3416.5,863,287,6,1,3,10
2024-03-11,6493.6,1604,476,0,0,3,11
2024-03-12,6051.4,1456,451,1,0,3,12
2024-03-13,5976.73,1464,450,2,0,3,13
2024-03-14,5642.1,1397,427,3,0,3,14
2024-03-15,5178.5,1272,402,4,0,3,15
2024-03-16,3511.2,904,298,5,1,3,16
2024-03-17,3502.4,914,288,6,1,3,17
2024-03-18,6394.33,1569,459,0,0,3,18
2024-03-19,6037.1,1491,449,1,0,3,19
2024-03-20,6352.3,1579,474,2,0,3,20
2024-03-21,5786.2,1393,457,3,0,3,21
2024-03-22,5325.4,1305,417,4,0,3,22
2024-03-23,3553.1,916,297,5,1,3,23
2024-03-24,3399.0,839,278,6,1,3,24
2024-03-25,6359.9,1586,473,0,0,3,25
2024-03-26,6558.9,1603,463,1,0,3,26
2024-03-27,6630.8,1617,473,2,0,3,27
2024-03-28,5689.1,1417,436,3,0,3,28
2024-03-29,5410.77,1351,412,4,0,3,29
2024-03-30,3300.0,833,276,5,1,3,30
2024-03-31,3452.6,905,265,6,1,3,31
2024-04-01,6560.79,1590,471,0,0,4,1
2024-04-02,6114.4,1483,434,1,0,4,2
2024-04-03,5203.1,1300,387,2,0,4,3
2024-04-04,1820.9,464,154,3,0,4,4
2024-04-05,1559.2,386,132,4,0,4,5
2024-04-06,1887.2,475,158,5,1,4,6
2024-04-07,2519.28,663,213,6,1,4,7
2024-04-08,6327.8,1543,461,0,0,4,8
2024-04-09,6310.58,1514,456,1,0,4,9
2024-04-10,6270.18,1550,431,2,0,4,10
2024-04-11,6182.22,1530,451,3,0,4,11
2024-04-12,4991.98,1254,393,4,0,4,12
2024-04-13,3347.3,880,284,5,1,4,13
2024-04-14,3277.5,816,276,6,1,4,14
2024-04-15,6507.9,1676,475,0,0,4,15
2024-04-16,5763.68,1450,431,1,0,4,16
2024-04-17,6397.78,1576,454,2,0,4,17
2024-04-18,5797.29,1430,432,3,0,4,18
